PdfType: replica
Format: lhagrid1
---
1.0000e-06 1.2649e-06 1.5999e-06 2.0236e-06 2.5595e-06 3.2375e-06 4.0949e-06 5.1795e-06 6.5513e-06 8.2864e-06 1.0481e-05 1.3257e-05 1.6768e-05 2.1210e-05 2.6827e-05 3.3932e-05 4.2919e-05 5.4287e-05 6.8665e-05 8.6851e-05 1.0985e-04 1.3895e-04 1.7575e-04 2.2230e-04 2.8118e-04 3.5565e-04 4.4984e-04 5.6899e-04 7.1969e-04 9.1030e-04 1.1514e-03 1.4563e-03 1.8421e-03 2.3300e-03 2.9471e-03 3.7276e-03 4.7149e-03 5.9636e-03 7.5431e-03 9.5410e-03 1.2068e-02 1.5264e-02 1.9307e-02 2.4421e-02 3.0888e-02 3.9069e-02 4.9417e-02 6.2506e-02 7.9060e-02 1.0000e-01 1.1800e-01 1.3600e-01 1.5400e-01 1.7200e-01 1.9000e-01 2.0800e-01 2.2600e-01 2.4400e-01 2.6200e-01 2.8000e-01 2.9800e-01 3.1600e-01 3.3400e-01 3.5200e-01 3.7000e-01 3.8800e-01 4.0600e-01 4.2400e-01 4.4200e-01 4.6000e-01 4.7800e-01 4.9600e-01 5.1400e-01 5.3200e-01 5.5000e-01 5.6800e-01 5.8600e-01 6.0400e-01 6.2200e-01 6.4000e-01 6.5800e-01 6.7600e-01 6.9400e-01 7.1200e-01 7.3000e-01 7.4800e-01 7.6600e-01 7.8400e-01 8.0200e-01 8.2000e-01 8.3800e-01 8.5600e-01 8.7400e-01 8.9200e-01 9.1000e-01 9.2800e-01 9.4600e-01 9.6400e-01 9.8200e-01 1.0000e+00
1.0000e+00 1.4874e+00 2.2122e+00 3.2903e+00 4.8939e+00 7.2790e+00 1.0826e+01 1.6103e+01 2.3950e+01 3.5622e+01 5.2983e+01 7.8805e+01 1.1721e+02 1.7433e+02 2.5929e+02 3.8566e+02 5.7362e+02 8.5317e+02 1.2690e+03 1.8874e+03 2.8072e+03 4.1753e+03 6.2102e+03 9.2367e+03 1.3738e+04 2.0434e+04 3.0392e+04 4.5204e+04 6.7234e+04 1.0000e+05
 1  2  3  4  5 21
 0.00000e+00  0.00000e+00  1.24413e-05  2.23113e-03 -4.13656e-11 -4.13656e-11  2.23113e-03  1.24413e-05  0.00000e+00  0.00000e+00 -1.26251e-11 
 0.00000e+00  9.90958e-02 -1.01033e+00 -1.00800e+00 -1.01033e+00 -1.01033e+00 -1.00800e+00 -1.01033e+00  9.90958e-02  0.00000e+00 -1.07310e+00 
 0.00000e+00  2.94964e-01 -7.86630e-01 -7.84206e-01 -7.86616e-01 -7.86616e-01 -7.84206e-01 -7.86630e-01  2.94964e-01  0.00000e+00 -8.69397e-01 
 0.00000e+00 -9.03652e-01 -1.96249e+00 -1.95999e+00 -1.96247e+00 -1.96247e+00 -1.95999e+00 -1.96249e+00 -9.03652e-01  0.00000e+00 -2.18962e+00 
 1.27204e-01 -2.27358e+00 -3.31325e+00 -3.31067e+00 -3.31322e+00 -3.31322e+00 -3.31067e+00 -3.31325e+00 -2.27358e+00  1.27204e-01 -3.64311e+00 
-1.12323e-01 -2.54181e+00 -3.56487e+00 -3.56222e+00 -3.56484e+00 -3.56484e+00 -3.56222e+00 -3.56487e+00 -2.54181e+00 -1.12323e-01 -3.93873e+00 
-1.22233e+00 -3.67482e+00 -4.68310e+00 -4.68038e+00 -4.68306e+00 -4.68306e+00 -4.68038e+00 -4.68310e+00 -3.67482e+00 -1.22233e+00 -5.17340e+00 
-3.08551e+00 -5.55668e+00 -6.55164e+00 -6.54887e+00 -6.55160e+00 -6.55160e+00 -6.54887e+00 -6.55164e+00 -5.55668e+00 -3.08551e+00 -7.18001e+00 
-5.58370e+00 -8.07020e+00 -9.05307e+00 -9.05024e+00 -9.05302e+00 -9.05302e+00 -9.05024e+00 -9.05307e+00 -8.07020e+00 -5.58370e+00 -9.80645e+00 
-8.60792e+00 -1.11071e+01 -1.20789e+01 -1.20760e+01 -1.20788e+01 -1.20788e+01 -1.20760e+01 -1.20789e+01 -1.11071e+01 -8.60792e+00 -1.29212e+01 
